gtc	number_snps	ploidy	ploidy_type	sample_name	sample_plate	sample_well	cluster_file	snp_manifest	scan_date	autocall_date	autocall_version	number_normalization_transforms	number_x_controls	number_y_controls	scanner_name	pmt_green	pmt_red	scanner_software_version	scanner_username	call_rate	computed_gender	logr_deviation	gencall_score_10_percentile	dx	gencall_score_50_percentile	number_valid_calls	number_invalid_calls	number_intensity_only_or_zeroed_loci	p05_x	p50_x	p95_x	p05_y	p50_y	p95_y	sentrix_barcode
3998887016_R01C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 8:55:27 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.987444	F	0.213107	0.445317	0	0.886023	169954	2161	1547	165	4238	16282	119	3474	6968	3998887016
3998887014_R01C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 7:18:54 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.985521	M	0.265949	0.445317	0	0.886315	169623	2492	1547	141	2249	11091	69	1547	3447	3998887014
3998887014_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 6:48:39 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.986625	M	0.224640	0.445317	0	0.886388	169813	2302	1547	216	3552	15167	131	3080	6319	3998887014
3998887014_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 7:03:49 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.969282	F	0.479840	0.439604	0	0.879314	166828	5287	1547	195	1657	11665	96	2715	7539	3998887014
3998887014_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 7:34:01 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.987061	F	0.224774	0.445317	0	0.887129	169888	2227	1547	166	2701	12568	90	2028	4329	3998887014
3998887014_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 8:04:13 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.988502	M	0.218696	0.445317	0	0.888285	170136	1979	1547	221	3358	14805	126	2941	6176	3998887014
9270665006_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	8/7/2013 6:24:07 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.978398	F	0.242655	0.445317	0	0.883564	168397	3718	1547	318	5651	23261	266	5596	11077	9270665006
3998887010_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 3:56:35 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.984859	M	0.350628	0.445317	0	0.887790	169509	2606	1547	174	1920	12637	95	3145	7742	3998887010
3998887016_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 10:11:04 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.971414	M	0.433903	0.441702	0	0.879302	167195	4920	1547	162	2088	14084	93	3808	10372	3998887016
3998887016_R01C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 10:26:07 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.984319	M	0.209291	0.445317	0	0.885026	169416	2699	1547	152	4291	16665	120	3485	7125	3998887016
3998887016_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 10:41:15 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.982494	F	0.253828	0.445317	0	0.884026	169102	3013	1547	163	3816	16745	136	3236	6889	3998887016
3998887016_R03C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 10:56:25 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.985039	M	0.223753	0.445317	0	0.885551	169540	2575	1547	172	4334	18491	116	3720	7859	3998887016
3998887016_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 11:11:28 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.981861	F	0.282345	0.445317	0	0.883569	168993	3122	1547	169	3744	17326	123	3315	7526	3998887016
3998887014_R03C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 7:49:07 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.988351	F	0.227217	0.445317	0	0.888164	170110	2005	1547	209	2796	13185	111	2302	4935	3998887014
3998887014_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 8:19:24 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.988043	M	0.236962	0.445317	0	0.887902	170057	2058	1547	221	3388	16362	127	3454	7468	3998887014
3998887014_R06C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 8:34:30 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.978445	F	0.430491	0.445317	0	0.885558	168405	3710	1547	189	1669	12441	106	2850	7849	3998887014
3998887016_R02C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 9:10:33 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.985835	M	0.272803	0.445317	0	0.886767	169677	2438	1547	178	3725	19276	121	3703	8238	3998887016
3998887010_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 4:57:07 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.988304	F	0.235403	0.445317	0	0.888114	170102	2013	1547	199	3076	13111	113	2910	6174	3998887010
3998887010_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 5:12:10 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.986178	M	0.254950	0.445317	0	0.887934	169736	2379	1547	210	3009	14043	123	3265	7183	3998887010
3998887010_R06C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 5:27:16 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.971862	M	0.534747	0.440320	0	0.880297	167272	4843	1547	173	1463	11687	86	2843	8039	3998887010
3998887014_R01C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 5:48:13 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.989350	M	0.214702	0.446269	0	0.888716	170282	1833	1547	155	2898	11960	76	1751	3464	3998887014
3998887014_R02C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 6:03:19 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.987177	F	0.209994	0.445317	0	0.886914	169908	2207	1547	157	3089	12852	83	2188	4453	3998887014
3998887016_R04C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 9:40:47 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.985521	F	0.243840	0.445317	0	0.885976	169623	2492	1547	216	4295	18391	130	4137	8857	3998887016
3998887016_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 11:26:35 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.987439	F	0.274182	0.445317	0	0.888055	169953	2162	1547	169	3702	19016	112	4037	9024	3998887016
