idat	number_probes	number_mid_blocks	red_green	manifest_file	sentrix_barcode	chip_type	sentrix_position	opa	sample_name	description	sample_plate	sample_well	unknown1	unknown2	chip_type_guess	scan_date	scanner_data
6331337010_R01C02_Grn.idat	191668	191668	00 00 00 00		6331337010	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 9:51:21 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R02C02_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 9:18:35 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337001_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337001	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 8:11:00 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337001_R06C02_Grn.idat	191668	191668	00 00 00 00		6331337001	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 8:25:39 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R02C02_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 7:28:40 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273001_R04C01_Grn.idat	191668	191668	00 00 00 00		6331273001	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 7:46:05 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273001_R06C02_Grn.idat	191668	191668	00 00 00 00		6331273001	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 8:01:10 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273010_R02C02_Grn.idat	191668	191668	00 00 00 00		6331273010	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 8:41:48 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337004_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337004	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 9:59:55 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337004_R06C02_Grn.idat	191668	191668	00 00 00 00		6331337004	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 10:14:59 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R02C02_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 9:29:19 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337005_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337005	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 9:35:43 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
